Site,RainThresh
nj283029,-3.1
nj283951,-2.3
nj284229,-3.1
nj285581,-3.2
nj286026,-1.8
nj288644,-2.9
nm290234,1.7
nm290245,1.8
nm290377,3.1
nm290417,-1
nm290600,2.7
nm290640,2.1
nm290692,-0.1
nm290992,2.4
nm291063,0.1
nm291138,0.4
nm291286,-0.2
nm291469,3.2
nm291475,2.8
nm291480,3.5
nm291630,4.4
nm291647,-0.1
nm291664,3.7
nm291813,5
nm291887,4.7
nm291910,-1.1
nm291963,3.7
nm292030,4
nm292510,3.5
nm292608,3.7
nm292700,5
nm292785,2.7
nm292820,2.1
nm292837,2.4
nm292848,0.8
nm292854,2.5
nm292865,4.9
nm293060,2.3
nm293157,0.4
nm293488,5
nm293577,1.4
nm293649,3.1
nm293706,3.9
nm294009,2
nm294026,2.2
nm294346,2.5
nm294369,5
nm294426,-0.1
nm294742,4.9
nm294856,5
nm295084,2
nm295273,1.2
nm295560,3.1
nm295617,3.6
nm295937,3.5
nm295960,2.6
nm295965,3.7
nm296619,4.4
nm296676,4.2
nm296687,4.5
nm297008,3.4
nm297226,3.8
nm297279,5
nm297323,5
nm297340,-0.3
nm297638,4.5
nm297867,4.7
nm298387,1.2
nm298518,3.5
nm298713,2.9
nm299031,0.4
nm299156,5
nm299330,5
nm299686,-0.5
nm299691,1
nm299806,2.4
nm299820,3.5
nm299851,2.9
nm299897,1.2
nv260438,1.8
nv260691,-0.6
nv260795,-0.9
nv261358,0.9
nv261485,-1.4
nv262229,-0.3
nv262243,-1.1
nv262431,0.6
nv262573,0.4
nv262631,2.4
nv262708,3.2
nv262780,-2.6
nv263114,0.4
nv263205,5
nv264436,-2.4
nv264698,-1.3
nv264700,-2.1
nv264745,2.5
nv264935,-1
nv264950,5
nv265168,2
nv265191,-0.9
nv265818,-0.4
nv266779,-1.3
nv267123,5
nv267192,-0.8
nv267369,-2
nv267463,-0.4
nv267620,0.5
nv267908,5
nv268170,1.9
nv268346,5
nv269171,-0.3
nv269229,-1.4
ny300042,-2
ny300055,-1.6
ny300063,-2.8
ny300085,-1.8
ny300093,-2.5
ny300183,-2.2
ny300331,-2.1
ny300443,-1.2
ny300448,-3.3
ny300687,-2.8
ny300785,-2.9
ny300889,-2.5
ny301012,-1.8
ny301152,-2.3
ny301185,-2.2
ny301708,-1.6
ny301752,-1.9
ny301966,-3.1
ny301974,-2.3
ny302610,-2.5
ny303025,-2
ny303284,-1.8
ny303294,-3.3
ny303346,-3.1
ny303773,-2.2
ny304025,-3.2
ny304102,-2.3
ny304174,-2
ny304555,-1.3
ny304731,-1.4
ny304808,-1.8
ny304912,-1.5
ny305134,-1.5
ny305426,-3
ny305597,-2.4
ny305801,-1.7
ny305803,-1.4
ny305811,-1.4
ny306085,-1.8
ny306164,1
ny306314,-0.9
ny306538,-1.3
ny306774,-2
ny307134,-2
ny307167,-1.1
ny307484,-2.5
ny307799,-2
ny307842,-1.5
ny308248,-2.2
ny308383,-0.8
ny308600,-1.3
ny308631,-2.4
ny308962,-1.4
ny309000,-1.5
ny309005,-3
ny309292,-2.7
ny309389,-2.4
ny309405,-2.5
oh330058,-3.2
oh330563,-4.7
oh330862,-4.9
oh331072,-5
oh331197,-4.3
oh331390,-4.8
oh331404,-4.9
oh331458,-0.9
oh331541,-4.1
oh331576,-4.5
oh331592,-4.8
oh331657,-2.5
oh331783,-5
oh331786,-5
oh331890,-5
oh331905,-5
oh332067,-5
oh332075,-4.6
oh332098,-5
oh332251,-2.5
oh332485,-5
oh332599,-2.7
oh332786,-4.4
oh332791,-4.7
oh332928,-5
oh333029,-4
oh333375,-5
oh333758,-4.7
oh333780,-3
oh334004,-5
oh334189,-4.7
oh334551,-5
oh334865,-3.8
oh334874,-4.3
oh334942,-5
oh334979,-5
oh335041,-4.9
oh335315,-4.5
oh335438,-4.3
oh335747,-5
oh335857,-4.8
oh336118,-3.5
oh336389,1
oh336405,-4.7
oh336465,-4.6
oh336600,-5
oh336781,-3.4
oh337447,1
oh337693,-5
oh337935,-5
oh338025,-4.8
oh338357,-4.4
oh338534,-4.6
oh338552,-5
oh338609,-4.8
oh338769,-4.2
oh338822,-4.6
oh338830,-5
oh338951,-5
oh339219,-5
oh339312,-4.8
oh339361,-4.9
oh339406,-3.2
oh339417,-4.9
ok340179,-0.5
ok340184,-0.5
ok340224,-2.1
ok340256,-4.6
ok340548,-2.3
ok340593,0.8
ok340755,-1.2
ok340830,-0.2
ok340908,3.7
ok341243,2.2
ok341750,-2.2
ok341828,-3.4
ok342318,-1.8
ok342660,-1.9
ok342912,-0.2
ok342944,1.6
ok343304,1.1
ok343358,0.2
ok343407,1.9
ok343489,2.3
ok343497,0.2
ok343628,1.8
ok343740,-0.1
ok343821,-1.5
ok344001,-2.5
ok344019,0.5
ok344055,-1
ok344204,-0.5
ok344298,2.9
ok344573,-2
ok344861,-1.4
ok345468,-3.3
ok345509,-0.2
ok345522,-1.6
ok345563,-2.1
ok345664,-3.8
ok345779,-2
ok346130,-2.9
ok346139,0.7
ok346278,-2.2
ok346661,-1.4
ok346935,-2.8
ok347012,-1.5
ok347201,-2.3
ok347390,-1.5
ok347862,-3.5
ok348042,-1.7
ok348380,-1.9
ok348501,-1.6
ok348708,0.8
ok348992,-2.5
ok349023,-3.8
ok349278,-1.8
ok349364,-0.1
ok349404,0.7
ok349422,0.5
ok349629,-2.3
or350197,-2.1
or350265,-1.1
or350304,-3
or350328,1
or350412,0.1
or350471,-1.5
or350694,-0.4
or350897,-1
or351546,1.2
or351643,-0.9
or351682,-0.8
or351765,-0.6
or351862,-2.1
or351877,-2
or351897,-2.5
or351902,-2.4
or351946,4.3
or352112,-2.7
or352374,-1.8
or352406,-2
or352415,-1.4
or352440,-2.1
or352693,-1.3
or352709,-3.6
or352867,-3.2
or352997,-3.7
or353038,-2.2
or353356,-0.3
or353445,-2.2
or353542,-2
or353604,-2.5
or353692,2.4
or353770,-0.1
or353827,-1.4
or354003,-1.3
or354291,-0.3
or354811,0.3
or355139,-2.6
or355160,-2.6
or355162,0.1
or355221,0.7
or355362,-2
or355384,-2.5
or355429,-3
or355593,-2.3
or355711,-2.3
or355734,-1.9
or356073,-1.6
or356179,-2.2
or356213,-1.1
or356294,-3.5
or356334,-2.4
or356366,-2.3
or356405,-1.7
or356426,-1.8
or356546,-2.9
or356634,-2.2
or356751,-2.3
or356883,-2.5
or356907,0.7
or357062,-1.6
or357169,-0.6
or357310,-3.4
or357500,-3.2
or357641,-2.9
or357675,-0.8
or357809,-2.1
or358029,2
or358095,-3.6
or358466,-0.8
or358494,-3.2
or358536,-0.4
or358634,-4
or358797,-3.2
or358997,-2.4
or359316,1.3
pa360106,-2.7
pa360865,-2.8
pa360868,-2.6
pa361354,-2.5
pa361485,-3.6
pa361705,-2.3
pa362190,-3
pa362470,-1.2
pa362682,-1.5
pa362942,-4.4
pa363018,-3.1
pa363028,-2.8
pa363758,-2
pa364214,-2.6
pa364325,-3.4
pa364432,-2.8
pa364778,-2.8
pa364896,-3.4
pa364992,-2.5
pa365390,-1.9
pa365454,-2.6
pa366233,-3.6
pa366889,-2.8
pa366993,-3.7
pa367029,-2.6
pa367229,-4.6
pa367477,-3.6
pa367782,-4.3
pa368073,-2.2
pa368184,-3.5
pa368449,-1.6
pa368469,-1.6
pa368596,-2.6
pa368873,-3
pa368888,-2.5
pa368905,-2.1
pa369050,-4
pa369298,-1.8
pa369367,-3
pa369728,-3.3
pa369933,-1.6
pi914229,1
pi914351,1
pi914375,1
pi914460,1
pi914690,1
pi914751,1
pi914851,1
pi914951,1
pr660061,1
pr662801,1
pr662934,1
pr663431,1
pr664193,1
pr664276,1
pr664702,1
pr665064,1
pr665097,1
pr665693,1
pr665807,1
pr667292,1
pr668306,1
pr668812,1
pr669521,1
ri374266,-3.4
ri376698,-3.1
sc380165,-2.5
sc380170,-2.7
sc380448,-3.7
sc380736,-4.2
sc381093,-3.4
sc381277,-3.7
sc381544,-3.7
sc381549,1
sc381588,-4.1
sc381633,-2.9
sc381726,-4.5
sc381770,-3.4
sc381939,-3.3
sc381944,-2.4
sc381997,-3.4
sc382260,-2.9
sc382386,-3
sc383106,-3.3
sc383111,-3.5
sc384607,-3.9
sc384886,-2.9
sc385017,-3.3
sc385200,-3.3
sc385493,-4
sc385633,-2
sc386293,-3.6
sc386527,-4.4
sc386688,-3.9
sc386775,-4.6
sc386831,-3.8
sc387631,-4.2
sc387666,-3.4
sc387722,-1.7
sc388405,1
sc388440,-3.2
sc388786,-3.8
sc388887,-4.7
sc389327,-3.7
sc389350,-1.7
sc389469,-5
sd390020,0.9
sd390043,2.6
sd390128,1.7
sd390236,2.5
sd390559,3.2
sd390701,0.9
sd391049,0.7
sd391076,0.6
sd391294,2.6
sd391392,-0.7
sd391539,4.8
sd391579,-0.4
sd391777,0.8
sd391873,-0.3
sd391972,3.4
sd392087,4.8
sd392302,0
sd392429,2.9
sd392797,1.9
sd392927,1.1
sd392984,0.3
sd393029,0.1
sd393069,2.6
sd393294,1.1
sd393316,2.2
sd393452,2.1
sd393832,-0.5
sd394007,3.6
sd394037,0.1
sd394127,1
sd394184,4.3
sd394206,0.6
sd394516,2.1
sd394834,4.9
sd394864,2.5
sd395048,1.5
sd395090,0.4
sd395381,1.8
sd395456,0.4
sd395481,1.3
sd395544,3.6
sd395561,1.5
sd395638,3.5
sd395891,3.2
sd396054,3
sd396212,3.2
sd396292,1.3
sd396427,3.7
sd396574,2
sd396597,0.8
sd396712,1.2
sd396937,2.6
sd396947,2.6
sd397545,1.2
sd397667,-0.5
sd397742,0.7
sd397882,5
sd397992,1.3
sd398307,2.5
sd398472,0.6
sd398622,0.7
sd398911,3.4
sd398932,0.1
sd398980,1.7
sd399004,0.9
sd399070,1.9
sd399232,2
sd399367,3.1
sd399442,3.3
sd399502,0.6
tn400081,-5
tn400284,-5
tn400876,-5
tn401094,-4.7
tn401145,-4.9
tn401656,-5
tn401790,-5
tn401808,-5
tn401957,-5
tn402009,-5
tn402108,-5
tn402197,-5
tn402202,-5
tn402360,-5
tn402489,-5
tn402589,-5
tn402600,-5
tn402685,-4.5
tn403074,-5
tn403280,-5
tn403420,-3.4
tn403679,-4.9
tn404556,-5
tn404561,-5
tn404858,-3.9
tn404876,-5
tn404950,-4.6
tn405089,-5
tn405108,-5
tn405187,-5
tn405681,-5
tn405882,-5
tn405954,-4
tn406012,-5
tn406162,-5
tn406274,-5
tn406371,-5
tn406402,-5
tn406534,-5
tn406619,-5
tn406750,-5
tn406829,-5
tn406977,-5
tn407184,-4.8
tn407359,-5
tn407459,-5
tn407884,-4.4
tn408065,-5
tn408108,-5
tn408160,-5
tn408179,-5
tn408246,-5
tn408522,-5
tn408562,-5
tn409155,-5
tn409219,-5
tn409502,-5
tn409866,-5
tx410016,0.4
tx410174,4.4
tx410211,2.9
tx410235,-3.9
tx410257,-4.1
tx410394,-0.1
tx410404,-2.8
tx410428,-1.8
tx410482,2
tx410493,-0.6
tx410498,1.4
tx410569,-5
tx410639,-3.4
tx410690,-0.2
tx410691,-3
tx410786,0.9
tx410832,-2.5
tx410902,-2
tx410923,-3.5
tx410958,3.4
tx410984,-1.5
tx411017,-1.8
tx411033,2.9
tx411048,-3.1
tx411063,-2
tx411128,2.8
tx411136,-0.2
tx411138,-1.5
tx411250,-3.1
tx411398,-1.2
tx411430,4.2
tx411500,-4
tx411578,-3.8
tx411596,-3.6
tx411698,-0.2
tx411715,3.6
tx411761,1.6
tx411800,-1.6
tx411875,1
tx411889,-2.6
tx411911,-3
tx411956,-4.3
tx411974,0.2
tx412015,-3.4
tx412019,-3.3
tx412082,1.9
tx412114,-4.5
tx412121,2.5
tx412225,-2.4
tx412240,5
tx412244,-1.8
tx412266,-4
tx412360,2
tx412404,-1.4
tx412464,2.5
tx412617,3
tx412679,1.3
tx412797,2
tx413060,-1.7
tx413063,-5
tx413133,-1.9
tx413183,-2.9
tx413201,-4
tx413214,0.9
tx413280,2.2
tx413283,-2.4
tx413299,-1.5
tx413329,-3.4
tx413340,-2.8
tx413368,3.9
tx413411,0.7
tx413485,-4.1
tx413618,-5
tx413622,-4.6
tx413668,-2.1
tx413691,-3.4
tx413734,-3.5
tx413787,3.1
tx413828,-0.4
tx413873,-3.7
tx413943,-0.7
tx413992,0.2
tx414058,-0.7
tx414081,-3.8
tx414098,4.2
tx414182,-2.3
tx414278,-0.8
tx414307,-3.3
tx414382,-2.9
tx414517,-0.8
tx414525,-3.2
tx414570,0.2
tx414605,-2.8
tx414810,-2.8
tx414903,-2.9
tx415013,1.3
tx415048,1.7
tx415060,-1.7
tx415094,-2.7
tx415183,3.3
tx415193,-4.3
tx415196,-5
tx415247,1.3
tx415271,-4
tx415272,-4.3
tx415411,2.2
tx415424,-4.1
tx415429,-2.8
tx415477,-4.3
tx415579,1.2
tx415611,-1.5
tx415618,-3.4
tx415650,-3.2
tx415658,2.1
tx415659,-1.4
tx415702,-0.4
tx415707,0.3
tx415721,-4.5
tx415757,-3.2
tx415821,0.3
tx415822,-2.3
tx415890,0.8
tx415891,1.6
tx416074,3.1
tx416104,3.6
tx416108,-2.6
tx416119,-2.1
tx416135,2.3
tx416177,-4.8
tx416276,-3.1
tx416644,1.9
tx416734,-1.4
tx416740,0.7
tx416747,-0.2
tx416750,-3.5
tx416757,-4.7
tx416785,2.8
tx416792,3.4
tx416794,-2.4
tx416879,-0.5
tx416950,1.6
tx417020,-4.7
tx417074,2.2
tx417079,2.9
tx417140,-2.2
tx417174,-3.4
tx417184,1
tx417206,1.6
tx417215,-3.2
tx417262,1
tx417327,0.8
tx417458,-3.2
tx417622,-1.8
tx417669,-0.6
tx417677,-3
tx417704,1
tx417743,0
tx417782,0.5
tx417841,-3.7
tx417936,-5
tx417943,-0.6
tx417945,-1.6
tx417983,-2.2
tx418022,0.7
tx418201,2.5
tx418274,-2.4
tx418323,2.3
tx418433,1.2
tx418449,-1.1
tx418630,0.3
tx418692,3.5
tx418728,-4.4
tx418743,-3.5
tx418818,2.5
tx418942,-3
tx418996,-5
tx419163,-0.6
tx419175,2.8
tx419191,1.8
tx419364,-3.8
tx419419,-1.9
tx419491,-4.2
tx419499,-0.1
tx419532,-2
tx419565,2
tx419588,-0.4
tx419715,-4
tx419729,-0.9
tx419800,-1.9
tx419830,0.6
tx419952,-3.4
ut420061,1.2
ut420072,5
ut420074,3.1
ut420086,4.1
ut420730,0.4
ut420738,1.4
ut420788,-2.1
ut420849,3.4
ut421008,4.1
ut421144,-0.5
ut421163,1.6
ut421214,1.4
ut421267,3.5
ut421308,2.7
ut421759,3.9
ut422057,2.2
ut422090,0.8
ut422101,0.8
ut422173,0.5
ut422257,-1.1
ut422385,3.4
ut422578,1.7
ut422592,2.1
ut422696,-0.2
ut422726,5
ut422798,3.3
ut422828,3.6
ut422852,1
ut422864,2.8
ut422996,1.3
ut423097,4.7
ut423611,-1.8
ut423809,1
ut424100,-0.5
ut424174,2.6
ut424342,-1.1
ut424467,3.7
ut424508,1.8
ut424856,2.9
ut424968,0
ut425065,1.3
ut425182,0.4
ut425186,0.8
ut425402,2.2
ut425477,3.4
ut425582,-0.6
ut425733,0.5
ut425837,3.1
ut425969,1.7
ut426123,1.7
ut426135,2.7
ut426181,3.6
ut426357,2.9
ut426534,5
ut426568,0.9
ut426708,1.2
ut426869,2.4
ut426919,0.9
ut427260,0.5
ut427271,-0.2
ut427395,-0.2
ut427516,-0.5
ut427598,0.9
ut427686,2.3
ut427846,5
ut428119,3.7
ut428733,5
ut428771,2.5
ut429111,1.1
ut429133,1.2
ut429136,0.8
ut429382,-0.7
ut429595,3.8
ut429717,3.3
va440243,-2.5
va440327,-1.7
va440766,-2.9
va441209,-2.7
va441593,-0.9
va441606,-2.1
va441614,-3.4
va442009,-2.4
va442208,-2.1
va442941,-1.8
va443267,-2.7
va443640,-1.9
va444044,-3.3
va444101,-1.5
va444128,-2.1
va444414,-3.3
va444876,-2.3
va444909,-0.7
va445050,-1.3
va445096,-1.7
va445120,-1.8
va445851,-2.2
va446139,-1.6
va446475,-2.5
va446692,-2.9
va446712,-0.9
va446955,-1.7
va447201,-1.3
va447285,-1.8
va447338,-2.2
va448022,-2
va448062,-2.1
va448192,-2.6
va448600,-2
va448829,-2.7
va448894,-1.5
va448906,-1.3
va449025,-1.8
va449151,-3.1
va449186,-1.8
va449215,-3.2
va449263,-0.7
va449301,-1.8
vi678905,1
vt431081,-1.6
vt431243,-1.8
vt431580,-3
vt432769,-2.3
vt435278,-1.9
vt435542,-1.7
vt436893,-0.5
vt436995,-1.7
vt437054,-0.8
wa450008,-1.6
wa450176,-0.9
wa450482,-3.1
wa450574,-2.7
wa450729,1
wa450872,-1.7
wa451233,-0.9
wa451276,-2.6
wa451395,-2.5
wa451400,-1.8
wa451484,-3
wa451496,-3.5
wa451679,-0.5
wa451760,0
wa451767,-3.5
wa451783,-1.1
wa451968,-1.9
wa451992,-2
wa452007,-3.1
wa452030,-1.7
wa452157,0.2
wa452505,-1
wa452531,-2.7
wa452548,-1
wa452614,-2.1
wa452675,-3
wa452914,-1.6
wa453320,-2.8
wa453333,-2.2
wa453515,-3
wa453546,-3
wa453807,1
wa454154,-1.4
wa454338,-3.4
wa454486,-2.5
wa454679,-3.1
wa454748,-2.7
wa454769,-2.5
wa455133,0
wa455224,-3.1
wa455525,-3.6
wa455659,-1.7
wa455688,-1.6
wa455704,-2.6
wa455844,-2.8
wa455946,-1.5
wa456039,-3.2
wa456096,1
wa456114,-2.9
wa456262,-1.9
wa456295,0
wa456534,0
wa456610,-2.4
wa456789,-2.3
wa456846,-2.7
wa456880,-2.1
wa456898,4
wa456974,0.5
wa457015,-2.4
wa457059,-2.4
wa457180,-2.1
wa457473,-1.8
wa457507,-2.1
wa457938,-2.5
wa458034,-2.8
wa458059,-0.1
wa458207,-1.2
wa458773,-3.7
wa458928,-2.5
wa458959,-1
wa459012,0.7
wa459074,0.4
wa459238,-2.9
wa459376,-0.2
wa459465,-1.4
wi470124,-1.2
wi470175,-1.1
wi470265,-1.9
wi470516,-3.2
wi470645,-3
wi470696,-3.1
wi470904,-1.7
wi471078,-3.8
wi471205,-3.6
wi471568,-3.1
wi471676,-2.4
wi471847,-1.6
wi471897,-2.1
wi471923,-1.4
wi471978,-1.8
wi472173,-3.4
wi472428,-1.6
wi472839,-3.9
wi472869,-3.6
wi473038,-2.1
wi473058,-3.2
wi473186,-2.2
wi473244,-2.5
wi473269,-2.2
wi473332,0.1
wi473405,-1.8
wi473453,-3.3
wi473698,-1.9
wi474080,-2.3
wi474174,-3.4
wi474195,-2.9
wi474370,-3.4
wi474482,-3.7
wi474546,-3.7
wi474582,-1.3
wi474937,-2.2
wi474961,-2.3
wi475017,-3.5
wi475091,-1.8
wi475120,-1.4
wi475164,-2
wi475178,-1.9
wi475255,-2
wi475286,0
wi475335,0.1
wi475364,-2.3
wi475474,-1.8
wi475479,-3
wi475516,-1.3
wi475563,-0.2
wi475786,-2.3
wi475808,-1.7
wi475932,-2.3
wi476200,-2.9
wi476208,-2.9
wi476330,-3.1
wi476357,-1.2
wi476398,-1.1
wi476646,-3.4
wi476678,-2.3
wi476718,-2.7
wi476827,-2.8
wi476859,-1.3
wi476922,-2.6
wi477092,-0.1
wi477113,-1.1
wi477132,-1
wi477158,-2.8
wi477174,-2.1
wi477226,-0.1
wi477349,-2.1
wi477464,-1.3
wi477708,-2.1
wi477892,-1.2
wi478027,-0.2
wi478110,-0.9
wi478171,-1.2
wi478229,-3.6
wi478267,-2.1
wi478349,-2.3
wi478589,-2.8
wi478672,-3.4
wi478827,-2.6
wi478905,1
wi478919,-3.1
wi478937,-2.6
wi478951,-1.6
wi478968,-1.1
wi479190,-4
wi479236,-2
wi479304,-1
wi479319,-2.5
wi479335,-2.7
wv460527,-1
wv460580,-3.6
wv461215,-2.5
wv461220,-3
wv461570,-3.1
wv461677,-4
wv462718,-2.1
wv462920,-3.4
wv463361,-2.9
wv463544,-3.7
wv463846,-3.6
wv464200,-4.6
wv464393,-3.2
wv465224,-3
wv465365,-3.2
wv465563,-3.3
wv465707,-1.6
wv465963,-4.3
wv466163,-1.3
wv466202,-4.2
wv466212,-4.2
wv466849,-4.3
wv466859,-4.6
wv466867,-2
wv467029,-3.8
wv467552,-4.2
wv467730,-1.1
wv467785,-1.9
wv468384,-3.8
wv468777,-1.5
wv469281,-1.5
wv469522,-2.5
wv469683,-3.6
wy480140,2.8
wy480540,3.2
wy480778,3.6
wy480865,3.6
wy481000,4.4
wy481165,3.7
wy481175,5
wy481220,5
wy481284,4.5
wy481570,4.2
wy481675,5
wy481730,5
wy481816,1.6
wy481840,2.9
wy482580,2.5
wy482715,2.7
wy482725,3.6
wy482995,5
wy483031,0.7
wy483100,3.9
wy483855,3.7
wy484065,3.8
wy484910,4
wy485055,2.8
wy485105,3.5
wy485345,4.6
wy485390,4.5
wy485415,3.1
wy485770,1.7
wy486440,1.4
wy486660,3.1
wy487115,4.2
wy487200,5
wy487260,3.2
wy487533,4.8
wy487555,3.6
wy487760,5
wy487845,3.4
wy488155,3.6
wy488160,2.8
wy488315,3.2
wy488705,4.4
wy489025,3
wy489205,2.2
wy489615,4.9
wy489770,0.8
wy489905,5
